year,county_town,HH_num,incm_sum,incm_mean,county,town,incm_med,incm_1st,incm_3rd,incm_std,incm_cv,key,county107,town107
1999,金門縣金寧鄉,1496,1080957,722.56482,金門縣,金寧鄉,,,,,,金門金寧,金門縣,金寧鄉
1999,金門縣金沙鎮,1239,902416,728.34222,金門縣,金沙鎮,,,,,,金門金沙,金門縣,金沙鎮
1999,金門縣金湖鎮,1759,1325828,753.73962,金門縣,金湖鎮,,,,,,金門金湖,金門縣,金湖鎮
1999,雲林縣二崙鄉,4649,2677698,575.9729,雲林縣,二崙鄉,,,,,,雲林二崙,雲林縣,二崙鄉
1999,雲林縣元長鄉,4663,2521947,540.84216,雲林縣,元長鄉,,,,,,雲林元長,雲林縣,元長鄉
1999,雲林縣北港鎮,8158,5268118,645.76099,雲林縣,北港鎮,,,,,,雲林北港,雲林縣,北港鎮
1999,雲林縣口湖鄉,4873,2377227,487.83646,雲林縣,口湖鄉,,,,,,雲林口湖,雲林縣,口湖鄉
1999,雲林縣古坑鄉,5540,3358121,606.159,雲林縣,古坑鄉,,,,,,雲林古坑,雲林縣,古坑鄉
1999,雲林縣四湖鄉,4446,2381067,535.55261,雲林縣,四湖鄉,,,,,,雲林四湖,雲林縣,四湖鄉
1999,雲林縣土庫鎮,4611,2755243,597.53699,雲林縣,土庫鎮,,,,,,雲林土庫,雲林縣,土庫鎮
1999,雲林縣大埤鄉,4139,2198400,531.14276,雲林縣,大埤鄉,,,,,,雲林大埤,雲林縣,大埤鄉
1999,雲林縣崙背鄉,4137,2353377,568.86078,雲林縣,崙背鄉,,,,,,雲林崙背,雲林縣,崙背鄉
1999,雲林縣斗六市,19875,14886054,748.98383,雲林縣,斗六市,,,,,,雲林斗六,雲林縣,斗六市
1999,雲林縣斗南鎮,8758,5602257,639.6731,雲林縣,斗南鎮,,,,,,雲林斗南,雲林縣,斗南鎮
1999,雲林縣東勢鄉,2727,1504755,551.79871,雲林縣,東勢鄉,,,,,,雲林東勢,雲林縣,東勢鄉
1999,雲林縣林內鄉,3832,2218978,579.06525,雲林縣,林內鄉,,,,,,雲林林內,雲林縣,林內鄉
1999,雲林縣水林鄉,4721,2539010,537.81189,雲林縣,水林鄉,,,,,,雲林水林,雲林縣,水林鄉
1999,雲林縣臺西鄉,4029,2194801,544.75079,雲林縣,臺西鄉,,,,,,雲林臺西,雲林縣,臺西鄉
1999,雲林縣莿桐鄉,5880,3274221,556.84033,雲林縣,莿桐鄉,,,,,,雲林莿桐,雲林縣,莿桐鄉
1999,雲林縣虎尾鎮,11964,8179543,683.67963,雲林縣,虎尾鎮,,,,,,雲林虎尾,雲林縣,虎尾鎮
1999,雲林縣褒忠鄉,2239,1267037,565.89417,雲林縣,褒忠鄉,,,,,,雲林褒忠,雲林縣,褒忠鄉
1999,雲林縣西螺鎮,7890,4591537,581.94385,雲林縣,西螺鎮,,,,,,雲林西螺,雲林縣,西螺鎮
1999,雲林縣麥寮鄉,4310,2439069,565.9093,雲林縣,麥寮鄉,,,,,,雲林麥寮,雲林縣,麥寮鄉
1999,高雄市三民區,77820,65348512,839.73932,高雄市,三民區,,,,,,高雄三民,高雄市,三民區
1999,高雄市仁武區,9824,6700669,682.07135,高雄縣,仁武鄉,,,,,,高雄仁武,高雄市,仁武區
1999,高雄市內門區,2396,1207714,504.05426,高雄縣,內門鄉,,,,,,高雄內門,高雄市,內門區
1999,高雄市六龜區,1917,1003370,523.40637,高雄縣,六龜鄉,,,,,,高雄六龜,高雄市,六龜區
1999,高雄市前金區,8905,9215008,1034.8127,高雄市,前金區,,,,,,高雄前金,高雄市,前金區
1999,高雄市前鎮區,42166,31473650,746.42249,高雄市,前鎮區,,,,,,高雄前鎮,高雄市,前鎮區
1999,高雄市大寮區,19846,13048967,657.51117,高雄縣,大寮鄉,,,,,,高雄大寮,高雄市,大寮區
1999,高雄市大樹區,8112,5189351,639.71289,高雄縣,大樹鄉,,,,,,高雄大樹,高雄市,大樹區
1999,高雄市大社區,6772,4744706,700.63586,高雄縣,大社鄉,,,,,,高雄大社,高雄市,大社區
1999,高雄市小港區,30626,22996592,750.88458,高雄市,小港區,,,,,,高雄小港,高雄市,小港區
1999,高雄市岡山區,19780,14306780,723.29523,高雄縣,岡山鎮,,,,,,高雄岡山,高雄市,岡山區
1999,高雄市左營區,32711,26074324,797.11182,高雄市,左營區,,,,,,高雄左營,高雄市,左營區
1999,高雄市彌陀區,4033,2213722,548.90204,高雄縣,彌陀鄉,,,,,,高雄彌陀,高雄市,彌陀區
1999,高雄市新興區,15834,16475205,1040.4955,高雄市,新興區,,,,,,高雄新興,高雄市,新興區
1999,高雄市旗山區,6642,4318894,650.23999,高雄縣,旗山鎮,,,,,,高雄旗山,高雄市,旗山區
1999,高雄市旗津區,5127,2747537,535.89563,高雄市,旗津區,,,,,,高雄旗津,高雄市,旗津區
1999,高雄市杉林區,1926,941301,488.73364,高雄縣,杉林鄉,,,,,,高雄杉林,高雄市,杉林區
1999,高雄市林園區,12715,8290729,652.04315,高雄縣,林園鄉,,,,,,高雄林園,高雄市,林園區
1999,高雄市桃源區,432,233331,540.11804,高雄縣,桃源鄉,,,,,,高雄桃源,高雄市,桃源區
1999,高雄市梓官區,7758,4538953,585.06744,高雄縣,梓官鄉,,,,,,高雄梓官,高雄市,梓官區
1999,高雄市楠梓區,32081,24686818,769.5152,高雄市,楠梓區,,,,,,高雄楠梓,高雄市,楠梓區
1999,高雄市橋頭區,8639,6243263,722.68353,高雄縣,橋頭鄉,,,,,,高雄橋頭,高雄市,橋頭區
1999,高雄市永安區,2749,1649907,600.18445,高雄縣,永安鄉,,,,,,高雄永安,高雄市,永安區
1999,高雄市湖內區,6130,3558613,580.52417,高雄縣,湖內鄉,,,,,,高雄湖內,高雄市,湖內區
1999,高雄市燕巢區,5694,3437949,603.78448,高雄縣,燕巢鄉,,,,,,高雄燕巢,高雄市,燕巢區
1999,高雄市田寮區,1802,972218,539.52167,高雄縣,田寮鄉,,,,,,高雄田寮,高雄市,田寮區
1999,高雄市甲仙區,1200,569761,474.80084,高雄縣,甲仙鄉,,,,,,高雄甲仙,高雄市,甲仙區
1999,高雄市美濃區,6861,4413820,643.32019,高雄縣,美濃鎮,,,,,,高雄美濃,高雄市,美濃區
1999,高雄市苓雅區,46505,42810600,920.55908,高雄市,苓雅區,,,,,,高雄苓雅,高雄市,苓雅區
1999,高雄市茂林區,238,117133,492.15546,高雄縣,茂林鄉,,,,,,高雄茂林,高雄市,茂林區
1999,高雄市茄萣區,4807,2482497,516.43372,高雄縣,茄萣鄉,,,,,,高雄茄萣,高雄市,茄萣區
1999,高雄市路竹區,11728,7557514,644.39923,高雄縣,路竹鄉,,,,,,高雄路竹,高雄市,路竹區
1999,高雄市那瑪夏區,323,140083,433.69351,高雄縣,三民鄉,,,,,,高雄那瑪夏,高雄市,那瑪夏區
1999,高雄市阿蓮區,5665,3377727,596.24481,高雄縣,阿蓮鄉,,,,,,高雄阿蓮,高雄市,阿蓮區
1999,高雄市鳥松區,8230,8244892,1001.8094,高雄縣,鳥松鄉,,,,,,高雄鳥松,高雄市,鳥松區
1999,高雄市鳳山區,63820,47860872,749.9353,高雄縣,鳳山市,,,,,,高雄鳳山,高雄市,鳳山區
1999,高雄市鹽埕區,7185,6259098,871.13403,高雄市,鹽埕區,,,,,,高雄鹽埕,高雄市,鹽埕區
1999,高雄市鼓山區,24183,19410522,802.65155,高雄市,鼓山區,,,,,,高雄鼓山,高雄市,鼓山區
2000,南投縣中寮鄉,3240,1744241,538,南投縣,中寮鄉,439,269,692,428.26001,79.550003,南投中寮,南投縣,中寮鄉
2000,南投縣仁愛鄉,1331,785411,590,南投縣,仁愛鄉,498,318,748,441.14999,74.760002,南投仁愛,南投縣,仁愛鄉
2000,南投縣信義鄉,1562,799335,512,南投縣,信義鄉,451,253,679,374.23001,73.129997,南投信義,南投縣,信義鄉
2000,南投縣南投市,23165,17781851,768,南投縣,南投市,598,354,971,848.48999,110.54,南投南投,南投縣,南投市
2000,南投縣名間鄉,6880,4110537,597,南投縣,名間鄉,491,304,776,481.48001,80.589996,南投名間,南投縣,名間鄉
2000,南投縣國姓鄉,3326,1685096,507,南投縣,國姓鄉,418,269,640,366.63,72.360001,南投國姓,南投縣,國姓鄉
2000,南投縣埔里鎮,13396,9133838,682,南投縣,埔里鎮,491,305,808,4801.4399,704.20001,南投埔里,南投縣,埔里鎮
2000,南投縣水里鄉,3823,2252580,589,南投縣,水里鄉,461,270,735,552.52002,93.769997,南投水里,南投縣,水里鄉
2000,南投縣竹山鎮,9294,5784415,622,南投縣,竹山鎮,498,301,785,565.28003,90.82,南投竹山,南投縣,竹山鎮
2000,南投縣草屯鎮,20422,13969740,684,南投縣,草屯鎮,529,315,873,593.02002,86.690002,南投草屯,南投縣,草屯鎮
2000,南投縣集集鎮,2312,1404520,607,南投縣,集集鎮,486,289,782,547.33002,90.099998,南投集集,南投縣,集集鎮
2000,南投縣魚池鄉,2544,1453580,571,南投縣,魚池鄉,464,289,719,441.85999,77.330002,南投魚池,南投縣,魚池鄉
2000,南投縣鹿谷鄉,2567,1543142,601,南投縣,鹿谷鄉,492,315,742,513.38,85.400002,南投鹿谷,南投縣,鹿谷鄉
2000,嘉義縣中埔鄉,7131,4217502,591,嘉義縣,中埔鄉,490,293,752,460.10999,77.800003,嘉義中埔,嘉義縣,中埔鄉
